Symbol,Name
42,42 Coin
300,300 token
365,365Coin
404,404Coin
433,433 Token
611,SixEleven
808,808
888,Octocoin
1337,EliteCoin
1717,1717 Masonic Commemorative Token
2015,2015 coin
2024,2024
2049,TOKEN 2049
BTC,Bitcoin
ETH,Ethereum
LTC,Litecoin
DASH,Dash
XMR,Monero
NXT,Nxt
ETC,Ethereum Classic
DOGE,Dogecoin
ZEC,ZCash
BTS,Bitshares
DGB,DigiByte
XRP,XRP
BTCD,BitcoinDark
PPC,PeerCoin
CRAIG,CraigsCoin
XBS,Bitstake
XPY,PayCoin
PRC,ProsperCoin
YBC,YbCoin
DANK,DarkKush
GIVE,GiveCoin
KOBO,KoboCoin
DT,DarkToken
CETI,CETUS Coin
SUP,Supcoin
XPD,PetroDollar
GEO,GeoCoin
CHASH,CleverHash
NXTI,NXTI
INSANITY,Insanity Coin
XDP,DogeParty
AC,Asia Coin
ACOIN,ACoin
AEROCOIN,Aero Coin
ALF,AlphaCoin
AEGIS,Aegis
AMERICANCOIN,AmericanCoin
ALIEN,AlienCoin
APEXCOIN,ApexCoin
ARCHCOIN,ArchCoin
ARGENTUM,Argentum
ARI,AriCoin
AURORAC,Auroracoin
AXR,AXRON
BETACOIN,BetaCoin
BITB,BeanCash
BLU,BlueCoin
BLK,BlackCoin
BOST,BoostCoin
BQC,BQCoin
XMY,MyriadCoin
MOONC,MoonCoin
ZET,ZetaCoin
SXC,SexCoin
QTL,Quatloo
ENRG,EnergyCoin
QRK,QuarkCoin
RIC,Riecoin
DGC,Digitalcoin
LIMX,LimeCoinX
BTB,BitBar
CAIX,CAIx
BTMK,BitMark
BUK,CryptoBuk
CACH,Cachecoin
CANN,CannabisCoin
CASH,CashCoin
CATC,Catcoin
CRYPTOBULLION,CryptoBullion
CCN,CannaCoin
CIN,CinderCoin
CINNI,CINNICOIN
CXC,CheckCoin
CLAM,CLAMS
CLOAK,CloakCoin
CLR,CopperLark
CMC,CosmosCoin
CNC,ChinaCoin
CNL,ConcealCoin
COMM,Community Coin
COOL,CoolCoin
CRACK,CrackCoin
CRYPT,CryptCoin
CSC,CasinoCoin
DEM,eMark
DIAM,Diamond
XVG,Verge
DRKC,DarkCash
DSB,DarkShibe
DEVCOIN,DevCoin
EARTHCOIN,EarthCoin
EFL,E-Gulden
ELC,Elacoin
EMC2,Einsteinium
EMD,Emerald
EXCL,Exclusive Coin
EXE,ExeCoin
EZC,EZCoin
FLAP,Flappy Coin
FC2,Fuel2Coin
FFC,FireflyCoin
FIBRE,FIBRE
FRC,FireRoosterCoin
FRK,Franko
FRAC,FractalCoin
FSTC,FastCoin
FTC,FeatherCoin
GRANDCOIN,GrandCoin
